No.,種類,レベル,達成,項目,備考,解釈
1,全般,1,〇,Laravelがわかる（MVCモデルを理解）,そもそもどういうものなのか,
2,バックエンド,1,〇,Laravelの処理の流れがわかる,URLが叩かれて画面が表示されるまでの流れ,https://obvious-sidecar-c0d.notion.site/laravel-8863ab2b9f6548faaf422f9e9afc7548
3,バックエンド,1,〇,Controllerファイルの役割がわかる,どういう役割なのか、利用方法,https://obvious-sidecar-c0d.notion.site/laravel-Controller-9767a243e6774bbda2d3cea3a1d9c72a
4,バックエンド,1,〇,repositoryファイルの役割がわかる,どういう役割なのか、利用方法,
5,バックエンド,1,〇,routeファイルの役割がわかる,どういう役割なのか、利用方法,https://obvious-sidecar-c0d.notion.site/laravel-Routes-6d61c18ae9f14d7b8f40f8782b5eca1f
6,バックエンド,1,〇,modelファイルの役割がわかる,どういう役割なのか、利用方法,https://obvious-sidecar-c0d.notion.site/laravel-Model-1e70e5373e3d4c538b50b4d5b7d1eec1
7,バックエンド,1,〇,requestファイルの役割がわかる,どういう役割なのか、利用方法,
8,フロントエンド,1,〇,bladeファイルの役割がわかる,どういう役割なのか、利用方法,https://obvious-sidecar-c0d.notion.site/laravel-Views-94693ba22d5b4bf2a54091d23b69a4d5
9,フロントエンド,1,〇,jsファイルの役割がわかる,どういう役割なのか、利用方法,
10,フロントエンド,1,〇,cssファイルの役割がわかる,どういう役割なのか、利用方法,
11,バックエンド,1,〇,route処理を実装できる,叩かれたURLから指定のControllerのメソッドの処理を呼べる,
12,全般,1,〇,命名規則がわかる,スネーク、キャメル,"getData, get_data, get-data, GetDataとか"
13,全般,1,〇,適切なファイル名が設定できる,,
14,全般,1,〇,適切なメソッド名が設定できる,メソッド名を見ただけで大体どういう処理をするのかがわかるような命名をする,
15,全般,1,〇,適切な変数名が設定できる,変数名を見ただけで大体どういう使われ方をするのかがわかるような命名をする,～かどうかはis_
16,全般,2,〇,適切なコメントを記載する事ができる,なぜこの処理をするのか、他の人が改修することを前提に,
17,全般,1,〇,論理削除がわかる,論理削除とは？実用性,テーブルの中には残すがフラグにより削除された状態にする
18,全般,1,〇,物理削除がわかる,物理削除とは？実用性,ファイルごと削除する
19,バックエンド,2,〇,テーブルからfind()を使ってデータ取得ができる,テーブルからデータを取得する方法はたくさんあるその中でも便利なよく使うメソッド,"引数に指定したレコードのみを取得（主キー）。
返り値はコレクションクラス"
20,バックエンド,2,〇,テーブルからget()を使ってデータ取得ができる,テーブルからデータを取得する方法はたくさんあるその中でも便利なよく使うメソッド,全部取得する。返り値はModelオブジェクト
21,バックエンド,2,〇,テーブルからfirst()を使ってデータ取得ができる,テーブルからデータを取得する方法はたくさんあるその中でも便利なよく使うメソッド,最初の１件だけ取得する返り値はModelオブジェクト
22,バックエンド,2,〇,テーブルからvalue()を使ってデータ取得ができる,テーブルからデータを取得する方法はたくさんあるその中でも便利なよく使うメソッド,レコードから単一のデータを取り出すことができる
23,バックエンド,3,〇,テーブルから取得した返り値がわかる,modelのオブジェクト、collectionクラス,
24,バックエンド,3,〇,テーブルの更新・登録を行うことができる,save()について理解する,
25,バックエンド,3,〇,modelの$fillableがわかる,,ホワイトリスト
26,バックエンド,3,〇,modelの$fillableが実装できる,,https://obvious-sidecar-c0d.notion.site/fillable-3fee10bec8484c07bdb372051ef1c426
27,全般,2,〇,returnがわかる,,返り値　戻り値
28,全般,2,〇,returnの実装ができる,,
29,全般,1,〇,文字列型がわかる,,
30,全般,1,〇,整数(int)の型がわかる,,
31,全般,1,〇,日付型(date)がわかる,,
32,全般,1,〇,論理型(boolean)がわかる,,true or false
33,全般,2,〇,配列がわかる,,
34,全般,2,〇,配列を実装する,array(),
35,全般,2,〇,配列から値を取得する,[0]、,インデックス番号で取得
36,全般,2,〇,配列から関数を使って値を取得できる,array_get()、第3引数にデフォルト値設定,
37,全般,2,〇,配列に関数を使ってを値を追加する,array_add() ,
38,全般,2,〇,連想配列がわかる,keyとかvalueとか,"{ key => value, key => value  }"
39,全般,2,〇,連想配列を実装する,,
40,全般,2,〇,連想配列から値を取得する,[]を使う,
41,全般,2,〇,連想配列に値を追加する,[]を使う,
42,全般,2,〇,連想配列に関数を使ってを値を追加する,array_merge(),
43,全般,2,〇,関数のデフォルト値がわかる,なぜ、関数等を使う際にデフォルト値を設定するのか,たまにしか使われない情報を引数に持たせるとき
44,全般,2,〇,関数のデフォルト値を実装できる,引数,function hoge($hoge=null){
45,バックエンド,2,〇,テーブルから取得したmodelオブジェクトを操作できる,値を取ったり,$modelName->カラム名で取得可能
46,バックエンド,2,〇,テーブルから取得したcollectionクラスを操作できる,foreachで回したり,Modelオブジェクトの集まり
47,バックエンド,2,〇,テーブルから取得したデータを画面に出すことができる,,
48,バックエンド,2,〇,テーブルからwhereを使って条件を絞ったデータの取得ができる,,"where(カラム名, 絞り込む値)"
49,バックエンド,2,〇,テーブルからcase文を使って条件を絞ったデータの取得ができる,,
50,バックエンド,2,〇,"テーブルからwhereNull,whereNotNullを使って条件を絞ったデータの取得ができる",,
51,バックエンド,2,〇,テーブルからlikeを使って部分一致のデータの取得ができる,,例)testを設定するとtest_idやtestSampleなどの値も取得できる
52,バックエンド,1,〇,テーブルの主キーについてわかる,,一意のカラム
53,バックエンド,1,〇,テーブルの外部キーについてわかる,,
54,バックエンド,1,〇,テーブルどうしのjoinができる,,nullを含めずに結合する
55,バックエンド,1,〇,テーブルどうしのleftjoinができる,,nullを含めて結合する
56,バックエンド,1,〇,joinとleftjoinを使い分ける事ができる,,
57,バックエンド,1,〇,複数テーブルのリレーションがわかる,主キーや外部キーを予測することができる,
58,バックエンド,3,〇,リレーションを設定することができる,Laravel Eloquent,
59,バックエンド,3,〇,リレーションを使うことができる,Laravel Eloquent,
60,バックエンド,1,〇,デバッグのdd()の使い方がわかる,,画面に変数の中身が表示される
61,フロントエンド,1,〇,デバッグのconsole.log()の使い方がわかる,,コンソールに吐き出される
62,フロントエンド,1,〇,alert()の使い方がわかる,,
63,バックエンド,1,〇,デバッグの\Log::infoの使い方がわかる,ログの吐き方は部署によって違う,logファイルにエラー内容が書き込まれる
64,全般,1,〇,変数の役割がわかる,どういう時に使うのか,
65,全般,1,〇,変数の実装ができる,宣言、処理の中で使う,
66,全般,1,〇,定数の役割がわかる,どういう時に使うのか,
67,全般,1,〇,定数の実装ができる,宣言、処理の中で使う,
68,全般,1,〇,引数がわかる,,
69,全般,1,〇,引数が実装できる,,fanction hoge(hoge){}
70,バックエンド,4,△,オブジェクト指向がわかる,,
71,バックエンド,4,〇,クラスがわかる,,
72,バックエンド,4,〇,インスタンス（オブジェクト）がわかる,,クラスのメソッドが使えるようになる
73,バックエンド,4,〇,インスタンスを実装できる,newで生成してインスタンスからプロパティやメソッドを参照する,new Hoge();
74,バックエンド,2,〇,プロパティがわかる,,
75,バックエンド,2,〇,プロパティを実装できる,,
76,バックエンド,2,〇,メソッドがわかる,,public function hoge(){}
77,バックエンド,2,〇,メソッドを実装できる,,
78,バックエンド,3,〇,静的プロパティがわかる,static,インスタンス生成がいらない
79,バックエンド,3,〇,静的プロパティを実装できる,static 、::（スコープ演算子）,
80,バックエンド,3,〇,静的メソッドがわかる,static,
81,バックエンド,3,〇,静的メソッドを実装できる,static、::（スコープ演算子）,
82,バックエンド,2,〇,controllerで$thisがわかる,,インスタンス生成がいる
83,バックエンド,2,〇,controllerで$thisを実装できる,理解して使える,
84,バックエンド,2,〇,controllerでself::がわかる,,インスタンス生成がいらない
85,バックエンド,2,〇,controllerでself::を実装できる,理解して使える,
86,バックエンド,2,〇,アクセス修飾子publicがわかる,,
87,バックエンド,2,〇,アクセス修飾子publicが実装できる,実装して、呼び出しまで,
88,バックエンド,2,〇,アクセス修飾子protectedがわかる,,
89,バックエンド,2,〇,アクセス修飾子protectedが実装できる,実装して、呼び出しまで,
90,バックエンド,2,〇,アクセス修飾子privateがわかる,,
91,バックエンド,2,〇,アクセス修飾子privateが実装できる,実装して、呼び出しまで,
92,バックエンド,2,〇,Carbonで時間操作ができる,,
93,バックエンド,3,〇,collection操作ができる,,
94,バックエンド,2,〇,request $requestがわかる,大体どんなデータが入っているのか,
95,バックエンド,2,〇,requestでのバリデーションが実装できる,,
96,バックエンド,2,〇,requestの必須バリデーションが設定できる,required,
97,バックエンド,2,〇,requestの条件付き必須バリデーションが設定できる,required_if,
98,バックエンド,1,〇,requestでのバリデーションでエラーメッセージが実装できる,,
99,バックエンド,1,〇,requestでのバリデーションでエラーメッセージを画面に表示することができる,,
100,バックエンド,1,〇,Controllerから同じクラス内のメソッドを呼び出すことができる,,
101,バックエンド,1,〇,Controllerからrepositoryのメソッドを呼び出すことができる,,
102,バックエンド,1,〇,Controllerからmodelのメソッドを呼び出すことができる,,
103,バックエンド,1,〇,Controllerから画面を表示する処理が実装できる,view(),
104,バックエンド,1,〇,Controllerからbladeに値を渡すことができる,with(),
105,バックエンド,1,〇,Controllerから来た値をbladeで受け取ることができる,,
106,フロントエンド,1,〇,bladeからjsに値を渡すことができる,,
107,フロントエンド,1,〇,bladeから来た値をjsで受け取ることができる,,
108,フロントエンド,1,〇,bladeの値(value)をjsで取得できる,画面で入力された値を取得,
109,フロントエンド,1,〇,bladeからControllerに値を渡すことができる,,
110,フロントエンド,1,〇,bladeから来た値をControllerで受け取ることができる,input(),$request or function hoge($id){} Route::post('/{id}'
111,バックエンド,2,〇,リダイレクトがわかる,どういう時に使うのか,redirect()
112,バックエンド,2,〇,リダイレクトの処理の実装ができる,,
113,バックエンド,2,〇,例外処理がわかる,どういう時に使うのか,
114,バックエンド,2,〇,例外処理が実装できる,,
115,バックエンド,2,〇,セッションがわかる,ログイン中のユーザーとかの情報は大体セッションに入れてる,厳密にはファイル。情報が保存されている
116,バックエンド,2,〇,セッションから値を取得できる,ログイン中のユーザーとかの情報は大体セッションに入れてる,
117,全般,1,〇,ローカルとリモートの違いがわかる,,自分のパソコン上かそれ以外か
118,全般,1,〇,Gitのコミットがわかる,,
119,全般,1,〇,Gitのプッシュがわかる,,変更したコードがリモートに送られる
120,全般,1,△,Gitのチェリーピックがわかる,,
121,全般,1,〇,Gitのプルがわかる,,最新のコードをリモートからコピーする
122,全般,1,〇,Gitのフェッチがわかる,,
123,全般,1,〇,Gitのマージがわかる,,
124,全般,2,〇,Gitの競合が自分で解決できる,コンフリクト,
